receipt_no,transaction_id,transaction_date,transaction_time,store_name,till_id,cashier_name,customer_phone,product_code,product_name,category,quantity,unit_price_ngn,discount_pct,payment_method
RCPT-200239,TXN200239,2026-08-03,09:07:00,YABA,TILL-03,Amaka Eze,,SKU1004,Dangote Sugar 1kg,Grains & Staples,1,1250,5,Transfer
RCPT-200398,TXN200398,2026-08-08,14:12:00,YABA,TILL-01,Fatima Bello,,SKU1019,Titus Sardine 125g,Canned Foods,3,710,0,Cash
RCPT-200143,TXN200143,2026-08-02,05:33 PM,IKEJA,TILL-01,Amaka Eze,,SKU1006,Bigi Cola 50cl,Beverages,3,320,0,cash
RCPT-200080,TXN200080,14/08/2026,13:43:00,Yaba Branch,TILL-02,Tunde Bakare,7553128059,SKU1019,Titus Sardine 125g,Canned Foods,1,₦790.00,5,transfer
RCPT-200255,TXN200255,2026-08-05,15:01:00,SURULERE,TILL-01,Blessing Nwosu,07333406815,SKU1020,Cerelac Infant Cereal 400g,Baby Products,1,3060,0,POS Card
RCPT-200085,TXN200085,10-08-2026,10:26:00,Yaba Branch,TILL-03,Emeka Obi,+2348892952820,SKU1020,Cerelac Infant Cereal 400g,Baby Products,2,3520,15,pos
RCPT-200013,TXN200013,2026-08-03,12:09:00,Surulere Branch,TILL-01,Tunde Bakare,+2348355368419,SKU1012,Kings Vegetable Oil 1L,Grains & Staples,1,"₦2,830.00",0,POS Card
RCPT-200277,TXN200277,2026-08-03,18:45:00,Yaba Branch,TILL-01,Blessing Nwosu,,SKU1023,Ariel Detergent 900g,Household,4,1910,15,USSD
RCPT-200222,TXN200222,2026-08-04,08:27:00,MiniMart Express - Ikeja,TILL-01,Fatima Bello,07819910621,SKU1026,Chivita Juice 1L,Beverages,2,1490,0,POS Card
RCPT-200381,TXN200381,04/08/2026,07:44:00,Surulere Branch,TILL-01,Segun Adeyemi,+2348489386752,SKU1024,"Pampers Diapers (pack, medium)",Baby Products,5,4270,0,transfer
RCPT-200345,TXN200345,2026-08-04,18:52:00,SURULERE,TILL-01,Blessing Nwosu,+2348053263413,SKU1027,Amstel Malta 33cl,Beverages,1,370,0,CASH
RCPT-200184,TXN200184,2026-08-02,13:00:00,Surulere Branch,TILL-01,Ibrahim Musa,,SKU1023,Ariel Detergent 900g,Household,2,1660,0,ATM Card
RCPT-200078,TXN200078,2026-08-10,10:49 AM,MiniMart Express - Yaba,TILL-01,Emeka Obi,,SKU1002,Peak Milk Evaporated 170g,Dairy,3,690,0,transfer
RCPT-200115,TXN200115,2026-08-10,17:12:00,YABA,TILL-01,Blessing Nwosu,+2347004529514,SKU1003,Golden Morn 500g,Grains & Staples,2,1660,0,cash
RCPT-200385,TXN200385,2026-08-07,15:41:00,SURULERE,TILL-01,Blessing Nwosu,,SKU1018,Maltina 33cl,Beverages,1,460.00,15,Bank Transfer
RCPT-200215,TXN200215,2026-08-14,20:06:00,MiniMart Express - Yaba,TILL-02,Tunde Bakare,,SKU1021,Bournvita 500g,Beverages,1,2510,0,Cash
RCPT-200007,TXN200007,2026-08-07,11:35:00,Ikeja Branch,TILL-01,Chidinma Okafor,+2348815952173,SKU1026,Chivita Juice 1L,Beverages,2,1320,10,Bank Transfer
RCPT-200147,TXN200147,11-08-2026,09:01:00,YABA,TILL-01,Emeka Obi,,SKU1013,Omo Detergent 900g,Household,2,1460,5,Bank Transfer
RCPT-200278,TXN200278,2026-08-11,01:34 PM,MiniMart Express - Ikeja,TILL-02,Chidinma Okafor,+2349031504440,SKU1019,Titus Sardine 125g,Canned Foods,2,800,10,cash
RCPT-200306,TXN200306,2026-08-11,19:58:00,MiniMart Express - Ikeja,TILL-01,Blessing Nwosu,08573457584,SKU1018,Maltina 33cl,Beverages,1,460,5,CASH
RCPT-200150,TXN200150,2026-08-05,07:31:00,SURULERE,TILL-01,Amaka Eze,,SKU1002,Peak Milk Evaporated 170g,Dairy,1,₦620.00,5,cash
RCPT-200121,TXN200121,2026-08-12,20:28:00,YABA,TILL-01,Emeka Obi,,SKU1011,Honeywell Semolina 2kg,Grains & Staples,2,2620,0,Card
RCPT-200291,TXN200291,2026-08-05,14:45:00,Surulere Branch,TILL-01,Ibrahim Musa,+2347488597334,SKU1018,Maltina 33cl,Beverages,2,470,15,Cash
RCPT-200106,TXN200106,2026-08-06,19:44:00,Surulere Branch,TILL-01,Amaka Eze,,SKU1017,La Casera 50cl,Beverages,2,340,0,Bank Transfer
RCPT-200247,TXN200247,2026-08-12,13:49:00,MiniMart Express - Surulere,TILL-01,Tunde Bakare,8123359066,SKU1005,Coca-Cola 50cl,Beverages,1,460,0,Cash
RCPT-200317,TXN200317,2026-08-09,10:11:00,Surulere Branch,TILL-01,Ibrahim Musa,+2348457399586,SKU1009,Cowbell Milk Powder 360g,Dairy,1,1880,15,transfer
RCPT-200133,TXN200133,2026-08-02,17:34:00,SURULERE,TILL-01,Segun Adeyemi,,SKU1021,Bournvita 500g,Beverages,4,2380,0,Cash
RCPT-200229,TXN200229,08-08-2026,17:26:00,SURULERE,TILL-01,Amaka Eze,,SKU1021,Bournvita 500g,Beverages,1,2220,0,Cash
RCPT-200200,TXN200200,2026-08-09,17:15:00,MiniMart Express - Yaba,TILL-03,Fatima Bello,,SKU1026,Chivita Juice 1L,Beverages,1,"₦1,430.00",15,Bank Transfer
RCPT-200176,TXN200176,2026-08-08,16:44:00,Yaba Branch,TILL-02,Segun Adeyemi,+2347048984260,SKU1013,Omo Detergent 900g,Household,1,,0,POS Card
RCPT-200104,TXN200104,2026-08-08,07:05:00,SURULERE,TILL-01,Segun Adeyemi,9059369038,SKU1031,Indomie Onion Chicken 70g,Grains & Staples,3,160,10,POS Card
RCPT-200173,TXN200173,2026-08-09,19:35:00,Yaba Branch,TILL-02,Fatima Bello,,SKU1001,Indomie Noodles 70g,Grains & Staples,2,150,0,Cash
RCPT-200236,TXN200236,01-08-2026,13:27:00,Surulere Branch,TILL-01,Fatima Bello,8585985542,SKU1031,Indomie Onion Chicken 70g,Grains & Staples,1,170,15,Cash
RCPT-200106,TXN200106,06/08/2026,19:44:00,MiniMart Express - Surulere,TILL-01,Amaka Eze,,SKU1028,Semovita 2kg,Grains & Staples,2,2140,10,Bank Transfer
RCPT-200145,TXN200145,2026-08-03,17:11:00,YABA,TILL-03,Tunde Bakare,,SKU1006,Bigi Cola 50cl,Beverages,1,,0,Card
RCPT-200065,TXN200065,2026-08-04,13:14:00,MiniMart Express - Ikeja,TILL-01,Emeka Obi,08305271521,SKU1009,Cowbell Milk Powder 360g,Dairy,2,1860,0,Transfer
RCPT-200389,TXN200389,2026-08-03,18:23:00,MiniMart Express - Yaba,TILL-01,Amaka Eze,,SKU1029,Dano Milk Powder 400g,Dairy,3,"2,950.00",0,Cash
RCPT-200289,TXN200289,05/08/2026,17:59:00,Ikeja Branch,TILL-01,Fatima Bello,,SKU1013,Omo Detergent 900g,Household,1,1590,15,Cash
RCPT-200041,TXN200041,2026-08-01,07:44:00,IKEJA,TILL-01,Segun Adeyemi,,SKU1014,Dettol Soap 65g,Personal Care,3,390,0,pos
RCPT-200230,TXN200230,2026-08-10,20:43:00,IKEJA,TILL-01,Amaka Eze,,SKU1011,Honeywell Semolina 2kg,Grains & Staples,2,2160,5,POS Card
