receipt_no,transaction_id,transaction_date,transaction_time,store_name,till_id,cashier_name,customer_phone,product_code,product_name,category,quantity,unit_price_ngn,discount_pct,payment_method
RCPT-300010,TXN300010,05/09/2026,20:50:00,MiniMart Express - Surulere,TILL-01,Ibrahim Musa,,SKU1027,Amstel Malta 33cl,Beverages,1,410,10,USSD
RCPT-300019,TXN300019,2026-09-04,08:21:00,MiniMart Express - Ikeja,TILL-02,Tunde Bakare,07671845231,SKU1030,Nasco Cornflakes 500g,Grains & Staples,1,1800,0,USSD
RCPT-300140,TXN300140,2026-09-05,14:16:00,IKEJA,TILL-02,Emeka Obi,07237003638,SKU1030,Nasco Cornflakes 500g,Grains & Staples,1,2100,10,USSD
RCPT-300042,TXN300042,2026-09-01,20:59:00,Ikeja Branch,TILL-02,Amaka Eze,,SKU1025,Tom Tom Sweet (pack),Snacks,1,330.00,0,Bank Transfer
RCPT-300040,TXN300040,2026-09-01,12:42:00,Ikeja Branch,TILL-01,Emeka Obi,,SKU1011,Honeywell Semolina 2kg,Grains & Staples,1,2580,0,Bank Transfer
RCPT-300124,TXN300124,06/09/2026,11:05:00,MiniMart Express - Ikeja,TILL-02,Blessing Nwosu,08343826275,SKU1025,Tom Tom Sweet (pack),Snacks,1,280,0,Cash
RCPT-300005,TXN300005,2026-09-07,09:17:00,Surulere Branch,TILL-01,Tunde Bakare,,SKU1024,"Pampers Diapers (pack, medium)",Baby Products,1,"4,910.00",0,POS Card
RCPT-300069,TXN300069,2026-09-02,19:50:00,YABA,TILL-03,Ibrahim Musa,,SKU1012,Kings Vegetable Oil 1L,Grains & Staples,1,"2,650.00",0,USSD
RCPT-300010,TXN300010,2026-09-05,20:50:00,MiniMart Express - Surulere,TILL-01,Ibrahim Musa,07911486206,SKU1026,Chivita Juice 1L,Beverages,1,1490,5,USSD
RCPT-300082,TXN300082,2026-09-02,20:07:00,MiniMart Express - Yaba,TILL-03,Amaka Eze,08536177410,SKU1026,Chivita Juice 1L,Beverages,1,1360,0,POS Card
RCPT-300024,TXN300024,2026-09-02,12:46:00,YABA,TILL-02,Emeka Obi,,SKU1027,Amstel Malta 33cl,Beverages,3,430,10,pos
RCPT-300080,TXN300080,2026-09-04,08:17:00,Ikeja Branch,TILL-01,Amaka Eze,08823429333,SKU1024,"Pampers Diapers (pack, medium)",Baby Products,2,"4,870.00",10,Bank Transfer
RCPT-300084,TXN300084,2026-09-03,16:05:00,MiniMart Express - Ikeja,TILL-02,Emeka Obi,,SKU1013,Omo Detergent 900g,Household,1,1460,0,POS Card
RCPT-300131,TXN300131,05/09/2026,15:49:00,MiniMart Express - Surulere,TILL-01,Ibrahim Musa,,SKU1020,Cerelac Infant Cereal 400g,Baby Products,1,3360,0,Cash
RCPT-300014,TXN300014,2026-09-05,10:33:00,SURULERE,TILL-01,Amaka Eze,,SKU1020,Cerelac Infant Cereal 400g,Baby Products,1,2900,0,POS Card
RCPT-300133,TXN300133,2026-09-01,17:22:00,MiniMart Express - Yaba,TILL-03,Emeka Obi,08242852493,SKU1020,Cerelac Infant Cereal 400g,Baby Products,3,2940,0,Cash
RCPT-300134,TXN300134,2026-09-07,10:37:00,MiniMart Express - Surulere,TILL-01,Fatima Bello,,SKU1025,Tom Tom Sweet (pack),Snacks,3,320,10,Bank Transfer
RCPT-300062,TXN300062,01/09/2026,10:06:00,Surulere Branch,TILL-01,Emeka Obi,07127174423,SKU1010,Mama Gold Rice 5kg,Grains & Staples,1,7330,10,Bank Transfer
RCPT-300107,TXN300107,2026-09-03,11:27:00,YABA,TILL-03,Ibrahim Musa,08151174140,SKU1002,Peak Milk Evaporated 170g,Dairy,1,690,0,USSD
RCPT-300139,TXN300139,2026-09-04,11:57:00,IKEJA,TILL-01,Fatima Bello,,SKU1021,Bournvita 500g,Beverages,1,2200,10,pos
RCPT-300004,TXN300004,2026-09-03,12:15:00,Yaba Branch,TILL-03,Emeka Obi,07732228106,SKU1008,Milo 400g,Beverages,2,1950,0,Bank Transfer
RCPT-300113,TXN300113,2026-09-06,15:01:00,MiniMart Express - Yaba,TILL-02,Fatima Bello,07747644228,SKU1006,Bigi Cola 50cl,Beverages,1,360.00,10,Bank Transfer
RCPT-300123,TXN300123,2026-09-03,15:13:00,Ikeja Branch,TILL-02,Chidinma Okafor,08929145755,SKU1007,Gala Sausage Roll,Snacks,1,230,10,Cash
RCPT-300072,TXN300072,2026-09-06,16:46:00,MiniMart Express - Surulere,TILL-01,Emeka Obi,,SKU1022,Knorr Chicken Cubes (pack),Grains & Staples,3,300,5,cash
RCPT-300135,TXN300135,2026-09-06,15:25:00,YABA,TILL-02,Amaka Eze,07543847560,SKU1017,La Casera 50cl,Beverages,1,390,0,cash
RCPT-300074,TXN300074,2026-09-04,19:13:00,MiniMart Express - Surulere,TILL-01,Ibrahim Musa,07639358000,SKU1022,Knorr Chicken Cubes (pack),Grains & Staples,1,280,0,POS Card
RCPT-300067,TXN300067,2026-09-06,17:37:00,SURULERE,TILL-01,Fatima Bello,07584045147,SKU1008,Milo 400g,Beverages,2,2230,0,Bank Transfer
RCPT-300094,TXN300094,2026-09-02,08:04:00,Surulere Branch,TILL-01,Blessing Nwosu,,SKU1027,Amstel Malta 33cl,Beverages,4,440,5,Bank Transfer
RCPT-300110,TXN300110,2026-09-02,10:31:00,MiniMart Express - Surulere,TILL-01,Chidinma Okafor,08053038454,SKU1028,Semovita 2kg,Grains & Staples,3,1970,10,Bank Transfer
RCPT-300075,TXN300075,06/09/2026,17:31:00,Ikeja Branch,TILL-02,Emeka Obi,07361568697,SKU1014,Dettol Soap 65g,Personal Care,3,330,0,pos
RCPT-300049,TXN300049,2026-09-01,17:39:00,MiniMart Express - Surulere,TILL-01,Fatima Bello,,SKU1006,Bigi Cola 50cl,Beverages,1,360,0,USSD
RCPT-300132,TXN300132,01/09/2026,17:55:00,IKEJA,TILL-01,Fatima Bello,07653058938,SKU1024,"Pampers Diapers (pack, medium)",Baby Products,3,4320,10,Cash
