receipt_no,transaction_id,transaction_date,transaction_time,store_name,till_id,cashier_name,customer_phone,product_code,product_name,category,quantity,unit_price_ngn,discount_pct,payment_method
RCPT-102515,TXN102515,2026-04-01,18:57:00,Ikeja Branch,TILL-02,Blessing Nwosu,,SKU1005,Coca Cola 50cl,Beverages,1,₦370.00,0,Card
RCPT-101233,TXN101233,30-07-2026,14:25:00,IKEJA,TILL-02,Tunde Bakare,07297307615,SKU1001,Indomie Noodle 70g,Grains & Staples,2,170,0,Card
RCPT-100603,TXN100603,2026-05-11,13:50:00,MiniMart Express - Surulere,TILL-01,Blessing Nwosu,,SKU1028,Semovita 2kg,Grains & Staples,5,1890,0,Bank Transfer
RCPT-101262,TXN101262,2026-07-05,21:43:00,MiniMart Express - Yaba,TILL-01,Blessing Nwosu,8783566569,SKU1024,"Pampers Diapers (pack, medium)",Baby Products,1,4090,0,Cash
RCPT-101974,TXN101974,2026-03-10,19:23:00,SURULERE,TILL-01,Amaka Eze,,SKU1002,peak milk evaporated170g,Dairy,3,710,0,POS Card
RCPT-101972,TXN101972,2026-07-16,15:08:00,minimart express-ikeja ,TILL-01,Segun Adeyemi,+2348425615859,SKU1018,Maltina 33cl,Beverages,2,420,0,CASH
RCPT-100561,TXN100561,2026-07-30,15:25:00,minimart express-ikeja ,TILL-01,Tunde Bakare,7196406676,SKU1001,Indomie Noodles 70g,Grains & Staples,1,160.00,0,POS Card
RCPT-101301,TXN101301,17/05/2026,18:40:00,MiniMart Express - Ikeja,TILL-01,Tunde Bakare,,SKU1027,Amstel Malta 33cl,Beverages,1,430,0,POS
RCPT-102490,TXN102490,07/23/2026,18:24:00,YABA,TILL-03,Ibrahim Musa,0 8 3 0 4 7 6 5 9 8 9,SKU1008,Milo 400g,Beverages,1,2220,0,ATM Card
RCPT-101859,TXN101859,2026-07-05,12:20:00,Ikeja Branch,TILL-02,Tunde Bakare,,SKU1004,Dangote sugar 1Kg,Grains & Staples,2,1380,0,Bank Transfer
RCPT-101709,TXN101709,2026-03-29,18:46:00,Surulere Branch,TILL-01,Segun Adeyemi,2348644556394,SKU1019,Titus Sardine 125g,Canned Foods,1,640,0,pos
RCPT-100132,TXN100132,07/30/2026,14:29:00,SURULERE,TILL-01,Ibrahim Musa,,SKU1008,Milo 400g,Beverages,2,"₦2,110.00",0,Bank Transfer
RCPT-101945,TXN101945,2026-05-06,18:58:00,SURULERE,TILL-01,Amaka Eze,+2347241997172,SKU1014,Dettol Soap 65g,Personal Care,2,340,0,Cash
RCPT-102118,TXN102118,2026-07-05,13:47:00,Yaba Branch,TILL-02,Chidinma Okafor,,SKU1012,Kings Vegetable Oil 1L,Grains & Staples,1,"₦2,930.00",0,Cash
RCPT-101797,TXN101797,2026-05-14,07:15:00, Yaba,TILL-01,Amaka Eze,,SKU1017,La Casera 50cl,Beverages,1,380,15,Cash
RCPT-102363,TXN102363,2026-05-18,12:33:00,Yaba Branch,TILL-01,Amaka Eze,,SKU1010,Mama Gold Rice 5kg,Grains & Staples,2,,0,POS Card
RCPT-101733,TXN101733,03/02/2026,16:47:00,YABA,TILL-02,Blessing Nwosu,2347491702222,SKU1023,Ariel Detergent 900g,Household,1,"1,810.00",0,Bank Transfer
RCPT-100177,TXN100177,2026-06-15,11:57:00, Yaba,TILL-02,Amaka Eze,8108681081,SKU1023,Ariel Detergent 900g,Household,1,"₦1,670.00",15,Cash
